id,model,type_name,name,image,price,power,description,discounts,in_stock,form_factor,date_registered
16,"ryzen 7 7800x3d",cpu,"AMD Ryzen 7 7800X3D 4.2 GHz 8-Core Processor","ryzen 7 7800x3d.jpg",439,162,"8 Cores and 16 processing threads, combined with a massive 100MB of cache. 5.0 GHz Max Boost, Unlocked Memory Overclocking, DDR5 support. For the state-of-the-art Socket AM5 platform, can support PCIe 5.0 on select 600 Series motherboards. Cooler not included, liquid cooler recommended",0,1,,2023-05-15
17,"ryzen 5 7600x",cpu,"AMD Ryzen 5 7600X 4.7 GHz 6-Core Processor
","ryzen 5 7600x.jpg",239,105,"6 Cores and 12 processing threads, based on AMD "Zen 4" architecture 5.3 GHz Max Boost",0,1,,2023-05-15
18,"Nvidia RTX 4080",GPU,"Nvidia RTX 4080 Founders Edition","Nvidia RTX 4080.jpg",1345.48,320,"Powered by the NVIDIA GeForce RTX 4080 (16GB) graphics processing unit (GPU) with a 2.51 GHz boost clock speed PCI Express 4.0 and earlier PCI Express 3.0. Offers compatibility with a range of systems 9,728 NVIDIA CUDA Cores, 2.51 GHz Boost Clock, Dedicated Ray Tracing Cores",0,1,,2023-05-15
19,"Nvidia RTX 4070",GPU,"Nvidia RTX 4070 Founders Edition","Nvidia RTX 4070.jpg",599.99,200,"Powered by the NVIDIA GeForce RTX 4070 graphics processing unit (GPU) with a 2.48 GHz boost clock speed. 5,888 NVIDIA CUDA Cores, 2.48 GHz Boost Clock, Dedicated Ray Tracing Cores, Dedicated Tensor Cores, GDDR6X Graphics Memory",0,1,,2023-05-15
20,air-cooler,cooler,"Bequiet! Pure Rock 2 Black CPU Cooler",NULL,44.9,10,"Four high-performance 6mm heat pipes with HDT technology Asymmetrical construction avoids blocking memory slots Pure Wings 2 120mm PWM fan for silent operation of max. 26. 8 dB(A) Elegant black surface. Easily installable installation kit can be mounted from atop the motherboard. Three-year manufacturer's",0,1,ATX,2023-05-15
21,liquid-cooler,cooler,"Corsair iCUE H150i ELITE CAPELLIX",NULL,170.99,20,"The CORSAIR iCUE H150i ELITE CAPELLIX Liquid CPU Cooler delivers powerful, low-noise cooling for your CPU, with a 360mm radiator and three CORSAIR ML120 RGB PWM fans controllable between 400 RPM and 2,400 RPM",0,1,ATX,2023-05-15
22,B650-AM5,motherboard,"Gigabyte B650 GAMING X AX ATX AM5 Motherboard",B650-AM5.jpg,189.99,70,"AMD AM5 Socket: Supports AMD Ryzen 7000 Series Processor, DDR5 Compatible: 4*SMD DIMMs with AMD EXPO Support, 3*PCIe 4.0 x4 M.2, USB 3.2 Gen 2x2",0,1,ATX,2023-05-15
23,fan,cooler,"Corsair iCUE SP120 RGB ELITE 47.7 CFM 120 mm Fans 3-Pack",NULL,71.98,15,"3x120mm case fans",0,1,,2023-05-15
24,ssd,ssd_hdd_drive,"Samsung 870 Evo 1 TB 2.5" Solid State Drive"",NULL,64.31,10,"1TB SSD 2.5 inch",0,1,,2023-05-15
25,"Corsair Vengeance RGB",RAM,"Corsair Vengeance RGB Pro (2x16)32 GB DDR4","Corsair Vengeance RGB.jpg",102.05,30,"2x16 DDR4 memory kit (32GB)",0,1,,2023-05-15
26,"G.Skill Trident Z5",RAM,"G.Skill Trident Z RGB (2x32) 64 GB DDR4","G.Skill Trident Z5.jpg",149.99,58,"2x32 DDR4 memory kit (64 GB) ",0,1,,2023-05-15
27,"G.Skill Trident Z5",RAM,"G.Skill Trident Z5 RGB (2x16) 32 GB DDR5","G.Skill Trident Z5.jpg",112.99,30,"2x16 DDR5 memory kit (32GB)",0,1,,2023-05-15
28,mini-ITX,case,"Thermaltake The Tower 100 Mini ITX Tower Case",NULL,99.99,NULL,,0,1,mini-ITX,2023-05-15
29,air-cooler-mini-ITX,cooler,"Noctua NH-L9i-17xx chromax.black 33.84 CFM CPU Cooler
",air-cooler-mini-ITX.jpg,54.95,15,,0,1,mini-ITX,2023-05-15
30,Z790-LGA1700-mini-ITX,motherboard,"ASRock Z790M-ITX WIFI",Z790-LGA1700-mini-ITX.jpg,229.99,30,"Supports 13th generation of intel CPU out of the box. Number of m.2 drives supported: 2, Number of SATA support: 4, Number of PCI3x16 slots: 1. DDR5 compatible, supports up to 2 slots.",0,1,mini-ITX,2023-05-15
31,Z690-LGA1700-mini-ITX,motherboard,"ASRock Z690M-ITX/ax",Z690-LGA1700-mini-ITX.jpg,149.99,30,"Supports both 13th generation (bios update required) and 12th generation of intel CPU. Number of m.2 drives supported: 2, Number of SATA support: 4, Number of PCI3x16 slots: 1. DDR4 compatible, supports up to 2 slots.",0,1,mini-ITX,2023-05-15
32,B650-AM5-mini-ITX,motherboard,"Gigabyte B650I AORUS ULTRA Mini ITX AM5 Motherboard",B650-AM5-mini-ITX.jpg,259.99,30,"AMD AM5 Socket: Supports AMD Ryzen 7000 Series Processor, DDR5 Compatible: 2 slots, 3 M.2 slots, 4 SATA connections",0,1,mini-ITX,2023-05-15
33,850W-Gold,PSU,"Corsair RM1000x (2021) 850 W 80+ Gold",850W-Gold.jpg,149.99,850,,0,1,ATX,2023-05-15
34,750W-Gold,PSU,"Corsair RM1000x (2021) 750 W 80+ Gold",750W-Gold.jpg,129.99,750,,0,1,ATX,2023-05-15
35,650W-Gold,PSU,"Corsair RM1000x (2021) 650 W 80+ Gold",650W-Gold.jpg,119.99,650,,0,1,ATX,2023-05-15
